水;shuǐ (water)
水果;shuǐ guǒ (fruit)
冰水;bīng shuǐ (ice water)
热水;rè shuǐ (hot water)
水平;shuǐ píng (level)
水桶;shuǐ tǒng (bucket)
咖啡;kā fēi (coffee)
咖啡馆;kā fēi guǎn (cafe)
冰咖啡;bīng kā fēi (iced coffee)
咖啡色;kā fēi sè (brown)
和;hé (and)
暖和;nuǎn huo (warm)
茶;chá (tea)
奶茶;nǎi chá (milk tea)
绿茶;lǜ chá (green tea)
红茶;hóng chá (black tea)
冰茶;bīng chá (iced tea)
热茶;rè chá (hot tea)
茶文化;chá wén huà (tea culture)
珍珠奶茶;zhēn zhū nǎi chá (bubble milk tea)
米饭;mǐ fàn (rice)
米;mǐ (rice)
饭馆;fàn guǎn (restaurant)
吃饭;chī fàn (have a meal)
做饭;zuò fàn (cook)
饭;fàn (meal)
早饭;zǎo fàn (breakfast)
午饭;wǔ fàn (lunch)
晚饭;wǎn fàn (dinner)
炒饭;chǎo fàn (fried rice)
卤肉饭;lǔ ròu fàn (braised pork rice)
这是;zhè shì (this is)
这不是;zhè bú shi (this is not)
这里;zhè lǐ (here)
这;zhè (this, these)
这个;zhè ge (this)
这儿;zhè r (here)
这家;zhè jiā (this)
在这里;zài zhè lǐ (here)
这次;zhè cì (this time)
这些;zhè xiē (these)
这本;zhè běn (this book)
这段时间;zhè duàn shí jiān (these days)
这块;zhè kuài (this piece)
是;shì (am, are, is)
也是;yě shì (is also)
还是;hái shi (or)
但是;dàn shì (but)
不是;bú shì (is not)
是不是;shì bú shì (is this)
只是;zhǐ shì (just)
总是;zǒng shì (always)
汤;tāng (soup)
汤圆;tāng yuán (glutinous rice balls)
酸辣汤;suān là tāng (hot and sour soup)
冰;bīng (iced, ice)
冰箱;bīng xiāng (refrigerator)
你的;nǐ de (your)
你好;nǐ hǎo (hello)
你呢;nǐ ne (and you)
你;nǐ (you)
很高兴认识你;hěn gāo xìng rèn shi nǐ (nice to meet you)
你叫什么名字;nǐ jiào shén me míng zi (What's your name)
你们;nǐ men (you)
你们的;nǐ men de (your)
你父母;nǐ fù mǔ (your parents)
你知道;nǐ zhī dao (you know)
帮你;bāng nǐ (help you)
你自己;nǐ zì jǐ (yourself)
我的;wǒ de (my)
真的吗;zhēn de ma (Really?)
她的;tā de (her)
的;de (null)
他的;tā de (his)
老师的;lǎo shī de (teacher's)
我们的;wǒ men de (our)
谁的;shéi de (whose)
他们的;tā men de (their)
的时候;de shí hou (when)
真的;zhēn de (really)
一样的;yí yàng de (the same)
红的;hóng de (red)
白的;bái de (white)
新的;xīn de (new)
重要的;zhòng yào de (important)
粥;zhōu (porridge)
豆腐;dòu fu (tofu)
豆浆;dòu jiāng (soy milk)
豆花;dòu huā (tofu pudding)
热;rè (hot)
热牛奶;rè niú nǎi (hot milk)
热情;rè qíng (warm-hearted)
英国;yīng guó (the UK)
英国人;yīng guó rén (British)
英文;yīng wén (English)
英语;yīng yǔ (English)
英语书;yīng yǔ shū (English book)
英国菜;yīng guó cài (British food)
美国;měi guó (America)
中国;zhōng guó (China)
韩国;hán guó (Korean)
中国人;zhōng guó rén (Chinese)
美国人;měi guó rén (American)
国;guó (country)
韩国菜;hán guó cài (Korean food)
中国菜;zhōng guó cài (Chinese food)
德国;dé guó (German)
德国人;dé guó rén (German)
法国;fǎ guó (France)
国家;guó jiā (country)
多邻国;duō lín guó (duolingo)
国际;guó jì (international)
国内;guó nèi (domestic)
国际漫游;guó jì màn yóu (international roaming)
美术;měi shù (art)
美术课;měi shù kè (art class)
美图;měi tú (Meitu)
美眉;měi méi (pretty girl)
中文;zhōng wén (Chinese)
中学生;zhōng xué shēng (middle school student)
中午;zhōng wǔ (noon)
中文课;zhōng wén kè (Chinese language class)
中间;zhōng jiān (in between)
初中;chū zhōng (middle school)
高中;gāo zhōng (high school)
中秋节;zhōng qiū jié (Mid-Autumn Festival)
人;rén (person)
意大利人;yì dà lì rén (Italian)
加拿大人;jiā ná dà rén (Canadian)
纽约人;niǔ yuē rén (New Yorker)
家人;jiā rén (family)
西班牙人;xī bān yá rén (Spanish)
别人;bié ren (others)
好人;hǎo rén (good person)
澳大利亚人;ào dà lì yà rén (Australian)
没有人;méi yǒu rén (no one)
年轻人;nián qīng rén (young people)
老人;lǎo rén (elderly people)
一个人;yí gè rén (alone)
其他人;qí tā rén (other people)
客人;kè rén (guest)
我;wǒ (I)
我叫;wǒ jiào (My name is)
我们;wǒ men (we)
我家;wǒ jiā (my home)
我要;wǒ yào (I want)
我知道;wǒ zhī dao (I know)
我爷爷;wǒ yé ye (my grandfather)
我阿姨;wǒ ā yí (my aunt)
我朋友;wǒ péng you (my friend)
我叔叔;wǒ shū shu (my uncle)
我父母;wǒ fù mǔ (my parents)
我们父母;wǒ men fù mǔ (our parents)
我弟弟;wǒ dì di (my younger brother)
我们爸爸;wǒ men bà ba (our father)
帮我;bāng wǒ (help me)
我会;wǒ huì (I will)
好吃;hǎo chī (delicious, tasty, tasty)
不好;bù hǎo (bad)
好;hǎo (good)
早上好;zǎo shang hǎo (good morning)
好久不见;hǎo jiǔ bu jiàn (long time no see)
爱好;ài hào (hobby)
最好;zuì hǎo (the best)
不好意思;bù hǎo yì si (excuse me)
好喝;hǎo hē (tasty)
好看;hǎo kàn (good-looking)
太好;tài hǎo (too good)
好在;hǎo zài (luckily)
准备好;zhǔn bèi hǎo (ready)
好笑;hǎo xiào (funny)
很好;hěn hǎo (very good)
好友;hǎo yǒu (friend)
意大利;yì dà lì (Italy)
注意;zhù yì (pay attention)
意思;yì si (meaning)
愿意;yuàn yi (willing)
不愿意;bù yuàn yi (unwilling)
满意;mǎn yì (satisfied)
同意;tóng yì (agree)
不同意;bù tóng yì (disagree)
意外;yì wài (accident)
生意;shēng yi (business)
意见;yì jiàn (opinion)
大学生;dà xué shēng (college student)
大;dà (big)
大衣;dà yī (coat)
加拿大;jiā ná dà (Canada)
大家;dà jiā (everyone)
大风;dà fēng (very windy)
澳大利亚;ào dà lì yà (Australia)
大概;dà gài (probably)
长大;zhǎng dà (grow up)
太大;tài dà (too big)
大学;dà xué (university)
上大学;shàng dà xué (go to college)
大约;dà yuē (approximately)
流利;liú lì (fluent)
呢;ne (how about)
韩文;hán wén (Korean)
凯文;kǎi wén (Kevin)
文化;wén huà (culture)
医生;yī shēng (doctor)
医院;yī yuàn (hospital)
李医生;lǐ yī shēng (Dr. Li)
生日;shēng rì (birthday)
学生;xué sheng (student)
生病;shēng bìng (sick)
生气;shēng qì (angry)
先生;xiān sheng (mr.)
发生;fā shēng (happen)
老师;lǎo shī (teacher)
老婆;lǎo po (wife)
老公;lǎo gōng (husband)
老;lǎo (old)
老板;lǎo bǎn (boss)
律师;lǜ shī (lawyer)
服务员;fú wù yuán (server, waiter, waiter, waiter)
舒服;shū fu (comfortable)
衣服;yī fu (clothes)
不舒服;bù shū fu (uncomfortable)
黄衣服;huáng yī fu (yellow clothes)
对不对;duì bu duì (right?)
对;duì (That's right)
不对;bú duì (wrong)
对吗;duì ma (right?)
派对;pài duì (party)
对不起;duì bu qǐ (sorry)
不;bù (not)
不常;bù cháng (infrequently)
不要;bú yào (don't want to)
不客气;bù kè qi (You're welcome)
不在;bú zài (not here)
不知道;bù zhī dao (does not know)
不错;bú cuò (not bad)
不收;bù shōu (not accept)
不贵;bú guì (not expensive)
不想;bù xiǎng (would not like to)
不太;bú tài (not very)
不忙;bù máng (not busy)
不健康;bù jiàn kāng (unhealthy)
不准;bù zhǔn (not allowed)
不会;bú huì (cannot)
不做;bù zuò (not do)
不给;bù gěi (not give)
不喜欢;bù xǐ huan (do not like)
不远;bù yuǎn (not far)
不近;bú jìn (not close)
不可以;bù kě yǐ (cannot)
不让;bú ràng (not allow)
不但;bú dàn (not only)
看不懂;kàn bu dǒng (can't understand)
不需要;bù xū yào (don't need)
看不清楚;kàn bu qīng chu (cannot see clearly)
想不想;xiǎng bù xiǎng (do you want)
不一样;bù yí yàng (different)
从不;cóng bù (never)
说;shuō (speak)
说错;shuō cuò (say incorrectly)
说话;shuō huà (speak)
数学;shù xué (math)
学习;xué xí (studying, study, study)
同学;tóng xué (classmate)
学校;xué xiào (school)
上学;shàng xué (go to school)
放学;fàng xué (finish school)
科学;kē xué (science)
科学课;kē xué kè (science class)
小学;xiǎo xué (elementary school)
学;xué (learn)
学了;xué le (have learned)
留学;liú xué (study abroad)
喜欢;xǐ huan (like)
最喜欢;zuì xǐ huan (like the most)
恭喜;gōng xǐ (congratulations)
恭喜发财;gōng xǐ fā cái (May you be prosperous!)
欢迎光临;huān yíng guāng lín (welcome)
欢迎;huān yíng (welcome)
日本;rì běn (Japan, Japanese, Japanese)
日;rì (day)
星期日;xīng qī rì (Sunday)
日本菜;rì běn cài (Japanese food)
节日;jié rì (festival)
本;běn (measure word for books)
笔记本;bǐ jì běn (notebook)
资本;zī běn (capital)
汉堡包;hàn bǎo bāo (hamburger)
汉语;hàn yǔ (Chinese)
汉语课;hàn yǔ kè (Chinese class)
汉字;hàn zì (Chinese characters)
钱包;qián bāo (wallet)
包子;bāo zi (bun, baozi, baozi)
包;bāo (bag)
面包;miàn bāo (bread)
小笼包;xiǎo lóng bāo (xiaolongbao)
红包;hóng bāo (red envelope)
菜;cài (food)
菜单;cài dān (menu)
点菜;diǎn cài (order)
蔬菜;shū cài (vegetable)
上海菜;shàng hǎi cài (Shanghai cuisine)
北京菜;běi jīng cài (Beijing cuisine)
北方菜;běi fāng cài (Northern cuisine)
南方菜;nán fāng cài (Southern cuisine)
菜鸟;cài niǎo (rookie)
音乐;yīn yuè (music)
西班牙音乐;xī bān yá yīn yuè (Spanish music)
声音;shēng yīn (sound)
快乐;kuài lè (happy)
课;kè (class)
地理课;dì lǐ kè (geography class)
上课;shàng kè (attend class)
下课;xià kè (get out of class)
上网;shàng wǎng (going online, surfing the internet, surfing the internet)
早上;zǎo shang (morning)
上午;shàng wǔ (morning)
晚上;wǎn shang (evening)
上;shàng (last, on, to get in, attend, up)
上个;shàng ge (last)
上班;shàng bān (go to work)
上个月;shàng ge yuè (last month)
桌子上;zhuō zi shang (on the table)
椅子上;yǐ zi shàng (on the chair)
上海;shàng hǎi (Shanghai)
上个星期五;shàng ge xīng qī wǔ (last Friday)
上星期;shàng xīng qī (last week)
飞机上;fēi jī shang (on the plane)
上车;shàng chē (get in the car)
上面;shàng mian (above)
马上;mǎ shàng (immediately)
向上;xiàng shàng (upwards)
天上;tiān shang (in the sky)
上来;shàng lái (come up)
上去;shàng qù (go up)
今天晚上;jīn tiān wǎn shang (tonight)
网球;wǎng qiú (tennis)
打网球;dǎ wǎng qiú (play tennis)
唱歌;chàng gē (sing)
唱;chàng (sing)
歌;gē (song)
跑步;pǎo bù (running)
跑;pǎo (run)
爸爸;bà ba (dad)
很;hěn (null)
得很;de hěn (very)
很早;hěn zǎo (very early)
很晚;hěn wǎn (very late)
很多;hěn duō (many)
很难;hěn nán (very difficult)
很久;hěn jiǔ (a long time)
高兴;gāo xìng (happy)
高;gāo (tall)
提高;tí gāo (to improve)
高富帅;gāo fù shuài (rich and handsome man)
兴趣;xìng qù (interest)
感兴趣;gǎn xìng qù (interested)
认识;rèn shi (know)
认真;rèn zhēn (serious)
认为;rèn wéi (think)
加;jiā (add)
参加;cān jiā (participate)
加油;jiā yóu (come on)
加班;jiā bān (work overtime)
拿;ná (take)
拿出;ná chū (take out)
拿来;ná lái (bring it over)
她;tā (she, her)
她们;tā men (feminine plural they)
妈妈;mā ma (mom)
公园;gōng yuán (park)
公寓;gōng yù (apartment)
公交车;gōng jiāo chē (bus)
公共;gōng gòng (public)
公共汽车;gōng gòng qì chē (bus)
办公室;bàn gōng shì (office)
公司;gōng sī (company)
公斤;gōng jīn (kilogram)
保险公司;bǎo xiǎn gōng sī (insurance company)
旅行;lǚ xíng (traveling)
旅游;lǚ yóu (travel)
旅游签证;lǚ yóu qiān zhèng (tourist visa)
行李;xíng li (luggage)
行;xíng (ok)
自行车;zì xíng chē (bicycle)
银行;yín háng (bank)
儿子;ér zi (son)
女儿;nǚ ér (daughter)
哪儿;nǎ r (where)
一会儿;yí huì r (in a while)
那儿;nà r (there)
一点儿;yì diǎn r (a little, a bit, a bit)
慢一点儿;màn yì diǎn r (slow down)
多儿;duō ér (Duo)
房子;fáng zi (house)
裤子;kù zi (pants, pant, pant)
裙子;qún zi (a skirt, skirt, skirt)
孩子;hái zi (child)
妻子;qī zi (wife)
桌子;zhuō zi (table)
椅子;yǐ zi (chair)
椅子下;yǐ zi xià (under the chair)
桌子下;zhuō zi xià (under the table)
杯子;bēi zi (cup)
盘子;pán zi (plate)
筷子;kuài zi (chopstick)
勺子;sháo zi (spoon)
瓶子;píng zi (bottle)
肚子;dù zi (stomach)
鞋子;xié zi (shoe)
鼻子;bí zi (nose)
短裙子;duǎn qún zi (short skirt)
长裙子;cháng qún zi (long skirt)
帽子;mào zi (hat)
男孩子;nán hái zi (boy)
女孩子;nǚ hái zi (girl)
袋子;dài zi (bag)
饺子;jiǎo zi (dumpling)
个子;gè zi (height)
句子;jù zi (sentence)
电子邮件;diàn zǐ yóu jiàn (email)
粽子;zòng zi (zongzi)
他;tā (he)
他们;tā men (they)
其他;qí tā (other)
练习;liàn xí (practice)
习惯;xí guàn (used to)
复习;fù xí (review)
也;yě (also)
吗;ma (question mark)
女;nǚ (female)
女朋友;nǚ péng you (girlfriend)
图书馆;tú shū guǎn (library)
体育馆;tǐ yù guǎn (gym)
博物馆;bó wù guǎn (museum)
去;qù (going to, to go, go)
去年;qù nián (last year)
出去;chū qù (go out)
去过;qù guò (have gone)
进去;jìn qù (go in)
下去;xià qù (go down)
书店;shū diàn (bookstore)
书;shū (book)
看书;kàn shū (read a book)
商店;shāng diàn (store, shop, shop)
酒店;jiǔ diàn (hotel)
超市;chāo shì (supermarket)
城市;chéng shì (city)
吃;chī (to eat)
吃完;chī wán (finish eating)
吃过;chī guò (eaten)
难吃;nán chī (disgusting)
吃了;chī le (have eaten)
吃货;chī huò (foodie)
口;kǒu (mouth)
常常;cháng cháng (frequently)
非常;fēi cháng (very)
经常;jīng cháng (often)
亚洲;yà zhōu (Asian)
买;mǎi (to buy, buy)
买单;mǎi dān (pay the bill)
买了;mǎi le (bought)
零食;líng shí (snack)
零;líng (zero)
食堂;shí táng (cafeteria)
看;kàn (to read, read)
看电影;kàn diàn yǐng (to watch a movie)
看见;kàn jiàn (see)
请看;qǐng kàn (please look)
看完;kàn wán (finish reading)
看了;kàn le (watched)
看起来;kàn qi lai (look)
谢谢;xiè xie (thanks)
感谢;gǎn xiè (thank)
杯;bēi (cup of)
干杯;gān bēi (cheers)
要;yào (want to, want)
想要;xiǎng yào (want)
需要;xū yào (need)
只要;zhǐ yào (only want)
还要;hái yào (also want)
快要;kuài yào (about to)
一定要;yí dìng yào (must)
要求;yāo qiú (demand)
重要;zhòng yào (important)
主要;zhǔ yào (main)
牛奶;niú nǎi (milk)
牛肉;niú ròu (beef)
牛肉面;niú ròu miàn (beef noodles)
奶奶;nǎi nai (grandmother)
两;liǎng (two)
两个;liǎng gè (two)
两个月;liǎng gè yuè (two months)
两年;liǎng nián (two years)
哎呀;āi yā (oh no)
绿色;lǜ sè (green)
绿;lǜ (green)
红绿灯;hóng lǜ dēng (traffic light)
客气;kè qi (polite)
客厅;kè tīng (living room, living room , living room )
天气;tiān qì (weather)
李;lǐ (Li)
哪里;nǎ lǐ (where)
那里;nà li (there)
里;lǐ (in)
房间里;fáng jiān lǐ (in the room)
家里;jiā lǐ (at home)
雨里;yǔ lǐ (in the rain)
里面;lǐ miàn (inside)
在;zài (is)
现在;xiàn zài (now)
在家;zài jiā (at home)
正在;zhèng zài (-ing)
多少钱;duō shǎo qián (how much)
钱;qián (money)
毛钱;máo qián (cents)
最有钱;zuì yǒu qián (richest)
换钱;huàn qián (change money)
哪;nǎ (which)
哪个;nǎ ge (which)
洗手间;xǐ shǒu jiān (bathroom)
洗;xǐ (wash)
手洗;shǒu xǐ (hand-wash)
洗澡;xǐ zǎo (to take a shower)
洗手;xǐ shǒu (wash hands)
手机;shǒu jī (cellphone)
手机号码;shǒu jī hào mǎ (cellphone number)
手;shǒu (hand)
手表;shǒu biǎo (watch)
左手;zuǒ shǒu (left hand)
右手;yòu shǒu (right hand)
分手;fēn shǒu (break up)
房间;fáng jiān (bedroom, room, room)
时间;shí jiān (time)
火车站;huǒ chē zhàn (train station)
火车;huǒ chē (train)
火车票;huǒ chē piào (train ticket)
火锅;huǒ guō (hot pot)
车票;chē piào (ticket)
出租车;chū zū chē (taxi)
出租车站;chū zū chē zhàn (taxi stand)
汽车;qì chē (car)
车;chē (vehicle)
下车;xià chē (get off)
开车;kāi chē (to drive)
停车;tíng chē (stop the car)
堵车;dǔ chē (traffic jam)
打车;dǎ chē (take a taxi)
救护车;jiù hù chē (ambulance)
站台;zhàn tái (platform)
站;zhàn (station)
地铁站;dì tiě zhàn (subway station)
飞机;fēi jī (plane)
机场;jī chǎng (airport)
照相机;zhào xiàng jī (camera)
飞机票;fēi jī piào (plane ticket)
机票;jī piào (plane ticket)
机会;jī huì (opportunity)
转机;zhuǎn jī (to change planes)
司机;sī jī (driver)
票;piào (ticket)
第一;dì yī (first)
第二;dì èr (second)
第;dì (ordinal)
二;èr (two)
二十;èr shí (twenty)
十二月;shí èr yuè (December)
十二号;shí èr hào (twelfth)
二十四;èr shí sì (twenty-four)
星期二;xīng qī èr (Tuesday)
二十三;èr shí sān (twenty three)
台湾;tái wān (Taiwan)
柜台;guì tái (counter)
个;gè (measure word for general objects)
下个月;xià ge yuè (next month)
几个;jǐ ge (how many)
每个;měi gè (every)
下个;xià ge (next)
下个星期;xià ge xīng qī (next week)
半个小时;bàn ge xiǎo shí (half an hour)
半个;bàn ge (half a)
一个月;yí gè yuè (a month)
三个月;sān gè yuè (three months)
下一个;xià yí gè (next)
每个月;měi gè yuè (every month)
同事;tóng shì (colleague)
合同;hé tong (contract)
新;xīn (new)
新闻;xīn wén (news)
体育新闻;tǐ yù xīn wén (sports news)
新鲜;xīn xiān (fresh)
新年;xīn nián (New Year's)
有;yǒu (have)
还没有;hái méi yǒu (still don't have)
有名;yǒu míng (famous)
有一点;yǒu yì diǎn (a little)
没有;méi yǒu (doesn't have)
还有;hái yǒu (still)
有信心;yǒu xìn xīn (be confident)
有时候;yǒu shí hou (sometimes)
有没有;yǒu méi yǒu (is there or not)
有事;yǒu shì (have something to do)
叫;jiào (called)
什么;shén me (what)
干什么;gàn shén me (what to do)
做什么;zuò shén me (what to do)
为什么;wèi shén me (why)
什么时候;shén me shí hou (when)
怎么;zěn me (how)
怎么样;zěn me yàng (how is)
怎么走;zěn me zǒu (how to go)
怎么办;zěn me bàn (what to do)
多么;duō me (how)
名字;míng zi (name)
签名;qiān míng (to sign)
字;zì (character)
写字;xiě zì (writes)
玛丽;mǎ lì (Mary)
节;jié (measure word for classes)
节目;jié mù (program)
电视节目;diàn shì jié mù (TV show)
体育节目;tǐ yù jié mù (sports program)
春节;chūn jié (Spring Festival)
季节;jì jié (season)
端午节;duān wǔ jié (dragon boat festival)
四;sì (four)
四十;sì shí (forty)
星期四;xīng qī sì (Thursday)
四十五;sì shí wǔ (forty-five)
今天;jīn tiān (today)
今年;jīn nián (this year)
明天;míng tiān (tomorrow)
明天见;míng tiān jiàn (See you tomorrow)
后天;hòu tiān (the day after tomorrow)
星期天;xīng qī tiān (Sunday)
每天;měi tiān (every day)
昨天;zuó tiān (yesterday)
一天;yì tiān (a day)
晴天;qíng tiān (sunny day)
阴天;yīn tiān (cloudy)
春天;chūn tiān (spring)
秋天;qiū tiān (fall)
冬天;dōng tiān (winter)
三天;sān tiān (three days)
夏天;xià tiān (summer)
前天;qián tiān (the day before yesterday)
七天;qī tiān (seven days)
聊天;liáo tiān (chat)
天天;tiān tiān (every day)
都;dōu (both)
历史;lì shǐ (history)
打篮球;dǎ lán qiú (to play basketball)
打;dǎ (hit)
打电话;dǎ diàn huà (call)
打扮;dǎ ban (dress up)
打了;dǎ le (played)
打排球;dǎ pái qiú (play volleyball)
打折;dǎ zhé (on sale)
打算;dǎ suàn (plan)
打扫;dǎ sǎo (clean)
篮球;lán qiú (basketball)
踢足球;tī zú qiú (play soccer)
足球;zú qiú (soccer)
乒乓球;pīng pāng qiú (ping pong)
排球;pái qiú (volleyball)
还;hái (also)
喝;hē (to drink)
喝完;hē wán (finish drinking)
多喝;duō hē (drink more)
喝过;hē guò (have drunk)
想;xiǎng (would like to, want, to miss)
最想;zuì xiǎng (miss the most)
明;míng (Ming)
明白;míng bai (understand)
明年;míng nián (next year)
明星;míng xīng (star)
聪明;cōng ming (smart)
电影院;diàn yǐng yuàn (movie theater)
电视;diàn shì (TV)
电话;diàn huà (phone)
电话号码;diàn huà hào mǎ (phone number)
电脑;diàn nǎo (computer)
电脑游戏;diàn nǎo yóu xì (computer game)
电影;diàn yǐng (movie)
充电;chōng diàn (charge)
电话卡;diàn huà kǎ (phone card)
电梯;diàn tī (elevator)
影响;yǐng xiǎng (influence)
吧;ba (let's)
走吧;zǒu ba (let's go)
地图;dì tú (map)
下午;xià wǔ (afternoon)
下雨;xià yǔ (rain)
下;xià (next, under, get off, fall, down)
下班;xià bān (finish work)
一下;yí xià (a moment)
下雪;xià xuě (snows)
下了;xià le (fell)
下着;xià zhe (falling)
下星期五;xià xīng qī wǔ (next friday)
下星期;xià xīng qī (next week)
下面;xià mian (under)
下来;xià lai (come down)
下雨了;xià yǔ le (it's raining)
下载;xià zǎi (download)
放下;fàng xià (drop off)
再见;zài jiàn (goodbye)
见;jiàn (see)
见了;jiàn le (saw)
会见;huì jiàn (meet)
见面;jiàn miàn (meet)
再见面;zài jiàn miàn (meet again)
见过;jiàn guò (have seen)
苹果;píng guǒ (apple)
果汁;guǒ zhī (juice)
如果;rú guǒ (if)
厨房;chú fáng (kitchen)
订房;dìng fáng (book a room)
退房;tuì fáng (check out)
小;xiǎo (small)
小时;xiǎo shí (hour)
小费;xiǎo fèi (tip)
小狗;xiǎo gǒu (puppy)
半小时;bàn xiǎo shí (half an hour)
小猫;xiǎo māo (kitten)
小姐;xiǎo jiě (miss)
小心;xiǎo xīn (careful)
漂亮;piào liang (beautiful, pretty, pretty)
月亮;yuè liang (moon)
沙发;shā fā (sofa)
发烧;fā shāo (fever)
头发;tóu fa (hair)
发现;fā xiàn (discover)
发;fā (send)
发财;fā cái (get rich)
转发;zhuǎn fā (share)
床;chuáng (bed)
起床;qǐ chuáng (get up)
空调;kōng tiáo (air conditioner)
空;kōng (free)
没关系;méi guān xi (no problem)
没;méi (not)
没事;méi shì (it's okay)
月;yuè (month)
六月;liù yuè (June)
几月;jǐ yuè (what month)
三月;sān yuè (March)
七月;qī yuè (July)
月饼;yuè bǐng (mooncake)
会;huì (will, can)
约会;yuē huì (date)
就会;jiù huì (will)
会议;huì yì (meeting)
开会;kāi huì (have a meeting)
聚会;jù huì (party)
误会;wù huì (misunderstand)
北京;běi jīng (Beijing)
北方;běi fāng (Northern)
北边;běi biān (north)
北京烤鸭;běi jīng kǎo yā (peking duck)
起飞;qǐ fēi (take off)
坐;zuò (take, sit)
请坐;qǐng zuò (please sit)
商场;shāng chǎng (mall)
远;yuǎn (far)
出差;chū chāi (business trip)
地铁;dì tiě (subway)
地理;dì lǐ (geography)
地方;dì fang (place)
地址;dì zhǐ (address)
地;de (-ly)
故宫;gù gōng (The Forbidden City, Forbidden City)
故事;gù shi (story)
长城;cháng chéng (the Great Wall, Great Wall, Great Wall)
长;zhǎng (long, looks)
校长;xiào zhǎng (principal)
长江;cháng jiāng (Yangtze River)
多长;duō cháng (how long)
便宜;pián yi (cheap)
随便;suí biàn (casual)
方便;fāng biàn (convenient)
件;jiàn (measure word for clothing)
毛衣;máo yī (sweater)
毛;máo (mao)
羽毛;yǔ máo (feather)
冷;lěng (cold)
一样;yí yàng (same)
那;nà (that, those)
那些;nà xiē (those)
点;diǎn (o'clock, tap)
几点;jǐ diǎn (what time)
一点半;yì diǎn bàn (one-thirty)
九点半;jiǔ diǎn bàn (nine-thirty)
五点半;wǔ diǎn bàn (five-thirty)
六点半;liù diǎn bàn (six thirty)
几点钟;jǐ diǎn zhōng (what time is it)
点钟;diǎn zhōng (o'clock)
甜点;tián diǎn (dessert)
点心;diǎn xin (dim sum)
点赞;diǎn zàn (like)
夹克;jiā kè (jacket)
巧克力;qiǎo kè lì (chocolate)
条;tiáo (measure word for long objects, pair of)
面条;miàn tiáo (noodle)
油条;yóu tiáo (fried dough sticks)
短;duǎn (short)
短信;duǎn xìn (text message)
百;bǎi (hundred)
五百;wǔ bǎi (five hundred)
一百万;yì bǎi wàn (one million)
贵;guì (expensive, used to express formality and respect)
贵姓;guì xìng (your surname)
免贵;miǎn guì (no need for formalities)
元;yuán (yuan)
后面;hòu miàn (behind)
后;hòu (in, backward)
以后;yǐ hòu (after)
然后;rán hòu (then)
最后;zuì hòu (last)
往后;wǎng hòu (backward)
后来;hòu lái (afterwards)
努力;nǔ lì (work hard)
压力;yā lì (pressure)
送;sòng (give)
送花;sòng huā (give flowers)
围巾;wéi jīn (a scarf)
周围;zhōu wéi (around)
白色;bái sè (white)
白;bái (white)
白酒;bái jiǔ (baijiu)
色;sè (color)
蓝色;lán sè (blue)
黑色;hēi sè (black)
颜色;yán sè (color)
红色;hóng sè (red)
黄色;huáng sè (yellow)
紫色;zǐ sè (purple)
橙色;chéng sè (orange)
快;kuài (fast)
尽快;jǐn kuài (as soon as possible)
愉快;yú kuài (happy)
凉快;liáng kuai (cool)
礼物;lǐ wù (gift)
动物;dòng wù (animal)
观光;guān guāng (sightseeing)
商量;shāng liang (discuss)
肉;ròu (meat)
猪肉;zhū ròu (pork)
羊肉;yáng ròu (lamb)
鸡肉;jī ròu (chicken)
六;liù (six)
星期六;xīng qī liù (Saturday)
六年级;liù nián jí (sixth grade)
多;duō (many)
太多;tài duō (too many)
更多;gèng duō (more)
红;hóng (red)
红了;hóng le (turned red)
红酒;hóng jiǔ (red wine)
瓶;píng (bottle of, bottle)
五;wǔ (five)
五十;wǔ shí (fifty)
星期五;xīng qī wǔ (Friday)
每星期五;měi xīng qī wǔ (every Friday)
十五;shí wǔ (fifteen)
十五度;shí wǔ dù (fifteen degrees)
八;bā (eight)
再;zài (again)
付现金;fù xiàn jīn (pay with cash)
现金;xiàn jīn (cash)
表现;biǎo xiàn (performance)
奖金;jiǎng jīn (bonus)
刷卡;shuā kǎ (pay by card)
刷牙;shuā yá (brush teeth)
刷;shuā (browse)
信用卡;xìn yòng kǎ (credit card)
周末;zhōu mò (weekend)
雨;yǔ (rain)
风;fēng (wind)
刮风;guā fēng (windy)
风景;fēng jǐng (scenery)
风险;fēng xiǎn (risk)
踢;tī (kick)
东西;dōng xi (things, thing, thing)
东边;dōng biān (east)
西瓜;xī guā (watermelon)
西班牙;xī bān yá (Spain)
西班牙语;xī bān yá yǔ (Spanish)
西边;xī biān (west)
西安;xī ān (Xi'an)
可以;kě yǐ (can)
可爱;kě ài (cute)
可能;kě néng (may)
可怕;kě pà (scary)
所以;suǒ yǐ (so)
以前;yǐ qián (before)
做;zuò (do)
做了;zuò le (did)
做梦;zuò mèng (to dream)
做完;zuò wán (finish)
家;jiā (home, measure word for institutions)
回家;huí jiā (go home)
搬家;bān jiā (move)
来;lái (come)
来过;lái guò (have been)
从来;cóng lái (never)
越来越;yuè lái yuè (used to indicate 'more and more')
来了;lái le (has come)
回来;huí lai (come back)
七;qī (seven)
九;jiǔ (nine)
十九号;shí jiǔ hào (nineteenth)
十;shí (ten)
三十;sān shí (thirty)
十万;shí wàn (one hundred thousand)
姓;xìng (surnamed)
